GPU,Precision,Config,Input_Length,Batch_Size,Forward_TFLOPs_per_Joule,Backward_TFLOPs_per_Joule,Forward_GPU_Time_ms,Backward_GPU_Time_ms,Forward_Energy_J,Backward_Energy_J
L40,BF16,large,1024,8,5.248392994857609,0.3073163688697453,17.5628757,413.4808680666666,347.2431,11860.7099
L40,BF16,mid,512,8,3.0444611138860864,0.3660315918812483,16.144392855555555,174.39951876666672,262.72665,4979.09746
L40,BF16,small,256,8,1.6149867433729772,0.4407344762422425,15.565481111111113,71.46282693333329,231.96381,2067.60613
L40,FP16,small,256,8,1.6143082871060204,0.541657641041982,15.730136655555555,68.90831569999997,250.87708,1682.36398
L40,FP16,large,1024,8,6.239047468809919,0.38236243181587076,17.54492202222222,393.5179826000001,292.10681,9532.81493
L40,FP16,mid,512,8,3.218234421717437,0.47008236139454823,16.8897465,165.12443042222222,283.14722,3876.99501
L40,FP32,small,256,8,1.43230191755661,0.08069285685189427,15.674592855555554,387.7276948777778,282.75669,11293.08566
L40,FP32,large,1024,8,5.683011440563253,0.0,15.784866055555556,0.0,267.23922,0.0
L40,FP32,mid,512,8,2.7701304357216703,0.07572245983605959,15.643647155555554,790.7557890444448,328.9499,24068.40788
H100,BF16,mid,512,8,1.645426408360989,0.5195329516158118,12.744158400000002,52.96830904444447,455.34516,3507.97185
H100,BF16,large,1024,8,2.9836484890202972,0.4480823546292831,13.634818433333335,124.86072098888887,536.1630700000001,8134.64369
H100,BF16,small,256,8,0.8698130305177818,0.6418320885445056,11.947868944444442,34.18244544444445,279.36552,1419.7877
H100,FP16,small,256,8,0.8611375574355553,0.9352066031741236,12.111224166666668,33.26991483333332,276.30122,974.39999
H100,FP16,large,1024,8,2.89506410632651,0.6508795728151247,13.332255799999999,118.8306087222222,363.71618,5600.09939
H100,FP16,mid,512,8,2.2837606031092554,0.759181184262083,12.896351022222223,50.52502806666667,341.37178,2400.62189
H100,FP32,small,256,8,0.8195823830487453,0.06250343187784387,12.452647933333333,254.01174343333338,358.25549,14579.54095
H100,FP32,large,1024,8,3.029329422739643,0.05376347945292757,15.469293333333333,1106.7261380555556,367.64922,67797.22025
H100,FP32,mid,512,8,1.578425414109133,0.058088120074450016,12.344853311111113,537.5858334666666,365.627,31375.07371
A40,FP16,mid,512,8,2.4388709398417414,0.21556133176946676,25.0710009,341.1732126888889,373.6295,8454.70268
A40,FP16,small,256,8,1.4341085726517178,0.23965388421633102,22.761383777777777,154.0107887,317.70054,3802.42243
A40,FP16,large,1024,8,4.5798149590661446,0.19002447125938224,26.743067455555558,770.7264284777777,397.93491,19181.68894
A40,FP32,mid,512,8,2.334289829851964,0.04563636768483612,24.468203666666664,1477.535666511111,390.36889,39935.67283
A40,FP32,small,256,8,1.530084334007987,0.04804207128228737,22.504584688888887,705.3577387555557,297.77252,18968.19434
A40,FP32,large,1024,8,6.216648788636793,0.0,31.26332207777778,0.0,289.90195,0.0
A40,BF16,large,1024,8,4.466550306946536,0.18208796139645814,24.92116077777778,740.5667537444446,408.02591,20017.74456
A40,BF16,mid,512,8,3.0361258388317327,0.1875734891636338,22.652849200000002,358.44991333333337,296.79577,9716.22897
A40,BF16,small,256,8,1.5096132474287267,0.20027454696439687,22.18032155555556,164.03678004444438,298.45700999999997,4550.08047
A100,FP16,mid,512,8,1.7788506634815655,0.48836421164223615,28.734876200000002,152.8397128999999,512.26005,3731.86021
A100,FP16,large,1024,8,3.451846888732545,0.43432334308446924,29.566748966666665,315.5209774444445,527.96903,8392.34261
A100,FP16,small,256,8,0.8891418790440829,0.6054533168157591,26.936527444444444,80.19490857777775,495.34258,1505.0959
A100,FP32,mid,512,8,1.5477221944350454,0.03632549818208747,29.00414688888889,1443.3222695777774,582.21644,50171.89413
A100,FP32,large,1024,8,3.201676160780033,0.036737675171301894,14.454384177777778,2872.8571958888892,569.22317,99217.34135
A100,FP32,small,256,8,1.0483640340323255,0.038144619918092794,26.93095712222222,730.8232195666667,429.76928,23889.90496
A100,BF16,mid,512,8,1.445370353822832,0.3662405516007492,27.700768800000002,158.38830026666662,630.45027,4976.25662
A100,BF16,small,256,8,0.9379893656442081,0.4027169980203892,26.377834744444442,79.44384119999998,480.34090000000003,2262.79325
A100,BF16,large,1024,8,2.9279930980057407,0.3409395581683046,28.66682512222222,320.31603562222205,615.51327,10691.01608
V100,FP32,mid,512,8,2.146188449769289,0.0,38.59675023333333,0.0,419.86494999999996,0.0
V100,FP32,large,1024,8,4.078270532436142,0.0,38.42864341111112,0.0,446.87282,0.0
V100,FP32,small,256,8,1.006462168870763,0.03465275898970231,35.779010711111106,986.5960723222222,447.66179,26297.2234
V100,FP16,mid,512,8,1.8227945398578345,0.22909249365151996,38.61390354444445,345.1939949444445,499.9105,7955.332539999999
V100,FP16,large,1024,8,5.169641062150751,0.0,38.91175313333334,0.0,348.61581,0.0
V100,FP16,small,256,8,0.9110724023272989,0.2514330185330214,37.33647306666666,152.67281022222227,500.08876,3624.28654
V100,BF16,small,256,8,0.816114439032574,0.02807971101907813,52.09427821111112,1244.0367875333336,553.29418,32894.60667
V100,BF16,mid,512,8,1.8760669185971286,0.02679930148688836,53.073158666666664,2663.1187165222213,493.37117,69856.51434
V100,BF16,large,1024,8,4.030552967516322,0.0,63.685288344444444,0.0,476.72679999999997,0.0
