gpu_config,precision,config_name,batch_size,input_length,forward_tflops_per_joule,backward_tflops_per_joule,total_tflops_per_joule,forward_tflops_per_joule_error,backward_tflops_per_joule_error,total_tflops_per_joule_error,is_forward_only,forward_energy,backward_energy,forward_energy_error,backward_energy_error,forward_gpu_time,backward_gpu_time,forward_gpu_time_error,backward_gpu_time_error
l40s,fp16,large,8,1024,6.239047468809919,0.38236243181587076,6.62140990062579,0.21143930444507847,0.0007573940258647799,0.21219669847094325,False,3.2456312222222223,105.92016588888889,0.10999339427093631,0.20980957904745978,17.54492202222222,393.5179826000001,0.07755355136309175,0.08641768297948856
a40,fp32,large,8,1024,6.216648788636793,0.0,6.216648788636793,0.16919314573527505,0.0,0.16919314573527505,True,3.2573252808988764,0.0,0.08865180094550107,0.0,31.26332207777778,0.0,0.0026018622194104875,0.0
l40s,fp32,large,8,1024,5.683011440563253,0.0,5.683011440563253,0.026040918873709316,0.0,0.026040918873709316,True,3.5631896,0.0,0.016327387737239588,0.0,15.784866055555556,0.0,0.0030674568174110673,0.0
l40s,bf16,large,8,1024,5.248392994857609,0.3073163688697453,5.555709363727353,0.17866858734370333,0.0020150650394868755,0.1806836523831902,False,3.8582566666666667,131.78566555555557,0.13134482667707725,0.8641150106750897,17.5628757,413.4808680666666,0.07758374476068423,0.1886213850667869
v100,fp16,large,8,1024,5.169641062150751,0.0,5.169641062150751,0.14147745960005137,0.0,0.14147745960005137,True,3.9170315730337077,0.0,0.10719732172187742,0.0,38.91175313333334,0.0,0.11201306869596785,0.0
a40,fp16,large,8,1024,4.5798149590661446,0.19002447125938224,4.7698394303255265,0.15196731694946305,0.00032544697427328066,0.15229276392373634,False,4.421499,213.1298771111111,0.14671408035702466,0.3650186377225484,26.743067455555558,770.7264284777777,0.23448736471664278,0.26202219129903387
a40,bf16,large,8,1024,4.466550306946536,0.18208796139645814,4.648638268342995,0.16193810635402378,0.00035451530347364754,0.16229262165749742,False,4.533621222222222,222.419384,0.16436981231606876,0.43303837778435095,24.92116077777778,740.5667537444446,0.07122465984583572,0.17801636537564222
v100,fp32,large,8,1024,4.078270532436142,0.0,4.078270532436142,0.07673854141372763,0.0,0.07673854141372763,True,4.965253555555555,0.0,0.09342840612759777,0.0,38.42864341111112,0.0,0.1351321294627783,0.0
v100,bf16,large,8,1024,4.030552967516322,0.0,4.030552967516322,0.08403268073936859,0.0,0.08403268073936859,True,5.296964444444444,0.0,0.1104359936800618,0.0,63.685288344444444,0.0,0.0659732096805882,0.0
a100,fp16,large,8,1024,3.451846888732545,0.43432334308446924,3.886170231817015,0.07544001876101644,0.0010904292284809678,0.07653044798949742,False,5.866322555555556,93.24825122222222,0.12820831801487675,0.23411271868404254,29.566748966666665,315.5209774444445,0.07902237534803437,0.798478376239619
l40s,fp16,mid,8,512,3.218234421717437,0.47008236139454823,3.688316783111985,0.11183705437107322,0.0025930034336284174,0.11443005780470164,False,3.1460802222222224,43.077722333333334,0.10932961952493757,0.2376193856579796,16.8897465,165.12443042222222,0.06886036995903315,0.11571214381662556
h100,fp16,large,8,1024,2.89506410632651,0.6508795728151247,3.5459436791416348,0.015479779532546374,0.002775355789153046,0.01825513532169942,False,6.994541923076923,62.22332655555555,0.03739950582226327,0.2653207702146966,13.332255799999999,118.8306087222222,0.07023976836577654,0.05644331895303063
h100,bf16,large,8,1024,2.9836484890202972,0.4480823546292831,3.4317308436495804,0.02411032564876506,0.0017980073707640249,0.025908333019529085,False,6.786874303797468,90.38492988888889,0.05484350794135369,0.36268504766420745,13.634818433333335,124.86072098888887,0.061491785546093115,0.057128843103268476
l40s,bf16,mid,8,512,3.0444611138860864,0.3660315918812483,3.410492705767335,0.019839800814817964,0.00233177757897082,0.022171578393788784,False,3.3256537974683544,55.32330511111111,0.021672245580629176,0.3524330831380879,16.144392855555555,174.39951876666672,0.06149392107655577,0.07727777564579237
a100,bf16,large,8,1024,2.9279930980057407,0.3409395581683046,3.2689326561740453,0.08867303449530249,0.001482154625437804,0.09015518912074029,False,6.915879438202247,118.78906755555556,0.20944448824238954,0.5164075617238779,28.66682512222222,320.31603562222205,0.08568456459952516,0.6531441041772569
a100,fp32,large,8,1024,3.201676160780033,0.036737675171301894,3.2384138359513344,0.08483989473422496,1.3448690220298033e-05,0.08485334342444525,False,6.324701888888889,1102.4149038888888,0.16759566412486793,0.4035649089799466,14.454384177777778,2872.8571958888892,0.0037825115689093585,3.8421155952508843
a40,bf16,mid,8,512,3.0361258388317327,0.1875734891636338,3.2236993279953667,0.09217153956171514,0.0003228867107267484,0.0924944262724419,False,3.3347839325842696,107.95809966666667,0.10123828374987132,0.18583775272885783,22.652849200000002,358.44991333333337,0.07246359864522522,0.10687461455190689
h100,fp32,large,8,1024,3.029329422739643,0.05376347945292757,3.083092902192571,0.02606964731937304,2.5654244984019696e-05,0.02609530156435706,False,6.6845312727272725,753.3024472222222,0.05752539537866461,0.3594522847990288,15.469293333333333,1106.7261380555556,0.2521620178685493,0.3599350533773643
h100,fp16,mid,8,512,2.2837606031092554,0.759181184262083,3.0429417873713382,0.05006208107812723,0.0058408191058671325,0.05590290018399436,False,4.43339974025974,26.673576555555556,0.09718409930815915,0.20521522239639053,12.896351022222223,50.52502806666667,0.04841643097232468,0.03986450193546433
l40s,fp32,mid,8,512,2.7701304357216703,0.07572245983605959,2.84585289555773,0.05050322220339676,0.000224627992308667,0.05072785019570542,False,3.654998888888889,267.4267542222222,0.06663557017329941,0.7933119845897373,15.643647155555554,790.7557890444448,0.005572730180902453,0.37358187711913143
a40,fp16,mid,8,512,2.4388709398417414,0.21556133176946676,2.654432271611208,0.08498518368754118,0.00047089178542799323,0.08545607547296917,False,4.151438888888889,93.9411408888889,0.14466152791287842,0.20521357515836885,25.0710009,341.1732126888889,0.16349130849819413,0.13737649234867258
a40,fp32,mid,8,512,2.334289829851964,0.04563636768483612,2.3799261975368,0.08720893131323422,0.0001242811374638558,0.08733321245069807,False,4.337432111111111,443.72969811111113,0.16204620960786778,1.2084053662769123,24.468203666666664,1477.535666511111,0.35119849382181323,0.26196500763628683
a100,fp16,mid,8,512,1.7788506634815655,0.48836421164223615,2.267214875123802,0.06813566643241367,0.002135356967765307,0.07027102340017898,False,5.691778333333334,41.46511344444445,0.2180133036958886,0.18130488844591602,28.734876200000002,152.8397128999999,0.06959247219194646,0.5343724817148068
h100,bf16,mid,8,512,1.645426408360989,0.5195329516158118,2.164959359976801,0.03070884678703713,0.0028280369798103122,0.03353688376684744,False,6.153312972972973,38.977465,0.11484022886683784,0.2121707815768646,12.744158400000002,52.96830904444447,0.04655479942710882,0.03793996493897277
l40s,fp16,small,8,256,1.6143082871060204,0.541657641041982,2.155965928148002,0.022913657790695544,0.003684064827013304,0.026597722617708847,False,3.1359635,18.69293311111111,0.044512188320564985,0.12713930750774594,15.730136655555555,68.90831569999997,0.0524259395386214,0.051948949106098936
v100,fp32,mid,8,512,2.146188449769289,0.0,2.146188449769289,0.06073139562764252,0.0,0.06073139562764252,True,4.717583707865169,0.0,0.13349500720669663,0.0,38.59675023333333,0.0,0.08475463838277238,0.0
l40s,bf16,small,8,256,1.6149867433729772,0.4407344762422425,2.0557212196152195,0.0236467076276983,0.0031868558472428086,0.02683356347494111,False,3.134646081081081,22.973401444444445,0.04589762714759065,0.16611570610156642,15.565481111111113,71.46282693333329,0.05276546532432457,0.037920743106729424
v100,fp16,mid,8,512,1.8227945398578345,0.22909249365151996,2.051887033509354,0.04197157157598337,0.00033864926217014166,0.042310220838153514,False,5.554561111111111,88.39258377777777,0.12789903313313444,0.13066374546165002,38.61390354444445,345.1939949444445,0.05350649820063622,0.12456255894581056
v100,bf16,mid,8,512,1.8760669185971286,0.02679930148688836,1.902866220084017,0.05288265099785127,9.357999005716681e-06,0.05289200899685699,False,5.543496292134831,776.1834926666667,0.15626030010915706,0.27103409229460956,53.073158666666664,2663.1187165222213,0.12826175975526,0.7982577721279699
a100,bf16,mid,8,512,1.445370353822832,0.3662405516007492,1.8116109054235812,0.041287079119981196,0.0034401950074744343,0.04472727412745563,False,7.005003,55.291740222222224,0.20009827400414265,0.5193700365393212,27.700768800000002,158.38830026666662,0.05361849075126284,0.481831075238269
h100,fp16,small,8,256,0.8611375574355553,0.9352066031741236,1.796344160609679,0.050887720576055916,0.01972635130199704,0.07061407187805296,False,5.878749361702128,10.826666555555555,0.34739647838127513,0.22836732245003943,12.111224166666668,33.26991483333332,0.0814928648797117,0.00934293789374983
a40,bf16,small,8,256,1.5096132474287267,0.20027454696439687,1.7098877943931237,0.04970031601530843,0.0007087238705964837,0.050409039885904915,False,3.353449550561798,50.556449666666666,0.11040410693811445,0.17890722128432007,22.18032155555556,164.03678004444438,0.054448181532215485,0.11861074837269531
a40,fp16,small,8,256,1.4341085726517178,0.23965388421633102,1.673762456868049,0.049107618977007154,0.0009443485234327995,0.050051967500439956,False,3.530006,42.24913811111111,0.12087661488140919,0.16648138761448616,22.761383777777777,154.0107887,0.10438036947760512,0.15249043044076152
h100,fp32,mid,8,512,1.578425414109133,0.058088120074450016,1.636513534183583,0.009524940665207607,4.375070493224148e-05,0.009568691370139848,False,6.414508771929825,348.6119301111111,0.03870807888858597,0.2625669012975855,12.344853311111113,537.5858334666666,0.08569030971630241,0.18089976387857387
a100,fp32,mid,8,512,1.5477221944350454,0.03632549818208747,1.5840476926171327,0.04641226318799259,2.9946122769767643e-05,0.04644220931076236,False,6.541757752808989,557.4654903333334,0.19617072341996705,0.4595650672084297,29.00414688888889,1443.3222695777774,0.006308041510780844,0.9575195906021458
a40,fp32,small,8,256,1.530084334007987,0.04804207128228737,1.5781264052902746,0.04098171738247915,6.699358245372115e-05,0.04104871096493287,False,3.3085835555555554,210.7577148888889,0.08861696914111925,0.29389686941687543,22.504584688888887,705.3577387555557,0.0028099495214806702,0.15803388047151684
l40s,fp32,small,8,256,1.43230191755661,0.08069285685189427,1.5129947744085044,0.005569156317841685,0.000201520407893328,0.005770676725735013,False,3.534458625,125.47872955555556,0.013742879444822637,0.31336757364265444,15.674592855555554,387.7276948777778,0.07502203194497571,0.3355036361872796
h100,bf16,small,8,256,0.8698130305177818,0.6418320885445056,1.5116451190622875,0.05035203803556547,0.011573689645107299,0.06192572768067277,False,5.820115,15.775418888888888,0.33691683335315836,0.2844666159580818,11.947868944444442,34.18244544444445,0.0821489909863189,0.006900069390992488
a100,fp16,small,8,256,0.8891418790440829,0.6054533168157591,1.494595195859842,0.039089094665089086,0.003853808376197104,0.04294290304128619,False,5.693592873563219,16.723287777777777,0.2503058241486284,0.10644643397860258,26.936527444444444,80.19490857777775,0.061930398661718115,0.0388697483069405
a100,bf16,small,8,256,0.9379893656442081,0.4027169980203892,1.340706363664597,0.03969880356136232,0.0055334223230208215,0.045232225884383144,False,5.397088764044944,25.142147222222224,0.2284225967742228,0.34545876973655026,26.377834744444442,79.44384119999998,0.08006405489072474,0.11918926741855154
v100,fp16,small,8,256,0.9110724023272989,0.2514330185330214,1.1625054208603203,0.02959390920359366,0.0008236547263212047,0.030417563929914865,False,5.5565417777777775,40.269850444444444,0.18049036765626464,0.13191764884475038,37.33647306666666,152.67281022222227,0.13071353793108276,0.09027649938598964
a100,fp32,small,8,256,1.0483640340323255,0.038144619918092794,1.0865086539504183,0.03961760190558622,4.708567630634435e-05,0.039664687581892566,False,4.8288683146067415,265.44338844444445,0.1824825884256633,0.32766302280091664,26.93095712222222,730.8232195666667,0.21210517846980853,1.0951583952072204
v100,fp32,small,8,256,1.006462168870763,0.03465275898970231,1.0411149278604652,0.036419220652492056,5.789634339105046e-05,0.03647711699588311,False,5.029907752808989,292.1913711111111,0.18200914647071387,0.4881808101564981,35.779010711111106,986.5960723222222,0.17206802141502275,0.33060367176954397
h100,fp32,small,8,256,0.8195823830487453,0.06250343187784387,0.8820858149265891,0.004563612005139581,8.801172039731184e-05,0.004651623725536893,False,6.176818793103449,161.99489944444446,0.034393863241570115,0.22810667138341656,12.452647933333333,254.01174343333338,0.09983469856242057,0.016233117391130886
v100,bf16,small,8,256,0.816114439032574,0.02807971101907813,0.8441941500516521,0.03246150791701958,2.9762346602741958e-05,0.03249127026362232,False,6.287433863636363,365.4956296666667,0.2500869662153134,0.3873974203130485,52.09427821111112,1244.0367875333336,0.17926702506934414,0.5030727538879743
