D,pytorch_forward_flops,pytorch_backward_flops,analytical_forward_flops,analytical_backward_flops,forward_error_pct,backward_error_pct
128,134217728,264241152,134742016,265273344,0.38910505836575876,0.38910505836575876
256,536870912,1056964608,537919488,1059028992,0.1949317738791423,0.1949317738791423
384,1207959552,2378170368,1209532416,2381266944,0.13003901170351106,0.13003901170351106
512,2147483648,4227858432,2149580800,4231987200,0.0975609756097561,0.0975609756097561
640,3355443200,6606028800,3358064640,6611189760,0.078064012490242,0.078064012490242
768,4831838208,9512681472,4834983936,9518874624,0.06506180871828238,0.06506180871828238
896,6576668672,12947816448,6580338688,12955041792,0.055772448410485224,0.055772448410485224
1024,8589934592,16911433728,8594128896,16919691264,0.04880429477794046,0.04880429477794046
1152,10871635968,21403533312,10876354560,21412823040,0.04338394793926247,0.04338394793926247
1280,13421772800,26424115200,13427015680,26434437120,0.03904724716907458,0.03904724716907458
1408,16240345088,31973179392,16246112256,31984533504,0.03549875754348598,0.03549875754348598
1536,19327352832,38050725888,19333644288,38063112192,0.03254149040026033,0.03254149040026033
1664,22682796032,44656754688,22689611776,44670173184,0.030039050765995796,0.030039050765995796
1792,26306674688,51791265792,26314014720,51805716480,0.02789400278940028,0.02789400278940028
1920,30198988800,59454259200,30206853120,59469742080,0.02603488674824265,0.02603488674824265
2048,34359738368,67645734912,34368126976,67662249984,0.0244081034903588,0.0244081034903588
